1000 2000
1181 1523 579071031
1029 1227 56211940
312 1071 86367489
1516 1833 130424542
894 1428 782763778
1631 1666 656618769
951 1331 721514333
24 1511 934733036
171 1568 841728896
577 1359 509755524
184 1962 77547824
1053 1281 176754291
704 1866 619651494
1938 1949 121381528
14 610 603497330
1061 1696 542217633
606 1282 284651559
738 1079 889964508
592 676 947005809
1113 1694 502007780
739 1907 344462637
1573 1831 417528935
383 1907 732121492
865 1392 952753337
395 444 681426351
1574 1643 237656621
235 1429 283142504
8 1119 453458812
1515 1928 270885186
72 1732 557542328
226 1136 777258776
7 819 605465387
184 1095 727711956
356 1367 445323613
611 874 145337498
609 1362 399552655
133 1806 993447590
734 1331 956875580
1425 1622 712230416
132 999 848997078
654 1686 650596362
943 1701 795706551
1195 1941 52581079
534 1420 262239744
920 1432 295779700
1956 1958 2270626
216 677 815132279
1185 1279 850583118
324 465 107664560
1551 1642 628652636
229 605 740600927
1072 1565 22044992
783 1397 800178664
678 1211 572549593
993 1368 703289910
11 916 74076870
1742 1937 289932615
1229 1303 613390347
662 1565 221779284
1788 1832 536573854
207 381 768006989
1509 1599 71247380
850 1854 735675017
961 1934 782749643
477 796 273280351
196 1692 707961262
297 805 695119022
650 1990 35991493
451 1755 514716209
128 493 909519449
852 1964 39195849
1294 1768 137293739
844 1226 860003921
614 1696 889759503
375 1729 792466257
795 1990 190306600
879 1191 839030839
227 1348 64022977
525 1097 406111569
207 1840 359217762
498 1177 472402129
684 1944 939905207
966 1095 849725756
257 814 475469986
397 1151 753491695
250 922 451575332
988 1762 609037475
365 1990 638581132
139 1233 759700856
1099 1438 529510359
48 1931 708560181
30 449 426580798
403 796 861622431
648 1888 932943003
1371 1681 560862163
176 1979 266656661
1156 1871 68540672
23 834 337466725
1256 1644 747998813
1358 1991 375406307
682 1515 500117677
1902 1903 841014613
1498 1862 803948066
1495 1808 757185357
77 1484 340736255
675 1704 431329070
644 1838 479055492
167 1983 312805445
408 1496 313654048
1436 1769 757616730
951 1974 633324023
871 1238 263259381
1232 1595 551479892
1610 1948 76827178
1147 1481 4475650
414 455 322753004
1626 1827 959970827
509 599 793482253
194 1776 53587355
475 1075 3136380
835 1423 227947370
1146 1507 164161284
283 566 181418404
1141 1610 948750981
163 962 711287403
574 1231 765341683
396 1213 588587739
620 920 976517136
589 1020 287092557
543 1379 434765661
1727 1843 378321201
1793 1840 396682378
306 1266 762205857
261 1988 471195068
41 953 717279013
167 1554 505323828
324 870 75138539
498 1048 736169999
350 1366 863114757
328 590 530381259
619 1953 340556088
180 1341 742905385
60 1112 823650245
622 1225 94044268
735 857 901389544
128 884 499804710
415 1938 310231196
138 1392 128232845
912 1789 124013958
980 1670 384531097
95 161 334196932
1606 1642 433514268
1881 1892 742774338
324 325 823675970
77 1665 213582595
645 1126 456382912
441 1662 662672623
110 258 569405912
545 1118 567442927
295 1774 952597018
190 1130 451303319
183 196 99947542
437 501 845896112
733 1605 417785684
371 1212 419161104
1654 1911 882559563
609 1424 935170770
465 1677 835366429
536 1392 929808794
407 998 47420498
1005 1210 102698203
527 1692 401994459
58 661 350106737
582 1787 292327651
1044 1754 851783929
1110 1663 832562736
1202 1809 127148696
862 1918 283679104
489 1032 208342004
472 840 475858458
422 1257 87712171
39 1438 937250882
1285 1658 344765519
569 1904 766201731
41 1337 735089343
396 1050 879855549
909 1350 692874876
278 975 179035887
1454 1712 118388168
318 930 107079004
125 250 667116144
168 1348 755516155
1126 1484 385736379
1053 1554 666673288
1575 1985 351499857
507 1484 29477823
533 678 927114167
635 1090 411036653
939 1481 564082301
94 1625 286261775
35 325 482398360
559 899 849948576
1069 1953 824471073
1344 1346 749736213
1038 1261 420162942
106 1110 639706404
284 1572 606143332
748 985 798990268
1432 1754 881244361
118 670 57500507
232 1713 836046914
97 582 324811395
7 1315 214771633
1155 1517 993140329
236 430 691302097
40 1367 364050127
132 504 126675398
754 943 763882420
89 1124 754604344
310 1551 396475120
120 1599 551325344
477 1804 287030503
1062 1769 624666700
54 570 68532674
1149 1277 698414173
176 1665 277649108
837 1800 968957961
1206 1947 731500654
13 586 507774138
70 623 746257347
294 565 100046439
265 343 457746790
328 1368 682101673
1176 1548 271416825
215 663 14636696
616 1041 543626881
1484 1799 684482
764 1424 180939040
204 1784 752754939
936 1027 689440122
807 1118 63167612
200 1146 238850117
843 1373 476664172
1659 1787 578123397
1233 1389 705281728
1029 1179 804254261
518 1522 524711906
426 656 381733108
315 560 588991750
693 875 2921515
1177 1415 504520712
1611 1879 990445093
375 1430 892843176
1045 1557 795014884
1319 1481 48866468
891 1024 869164843
276 1949 156213629
516 1557 264660252
92 385 584980638
742 1789 784712524
1045 1163 625623611
951 1930 783572278
1150 1436 62376362
1077 1573 228843151
553 1376 295639916
141 1271 669466824
626 1377 194107530
23 695 552575627
261 506 231995634
1450 1759 408381743
246 1569 493968701
558 871 618481975
258 1368 339655791
272 837 200722368
1320 1503 468529431
409 595 135086757
828 885 840246721
750 1829 607081830
338 1770 770587282
670 1640 690294446
416 1913 850657724
271 851 672443911
87 1973 963435457
1210 1984 432475013
415 1573 871047465
1306 1619 398270352
915 1604 881391822
788 942 101131825
677 1724 732979621
1142 1310 987968600
502 1680 637836279
92 308 88493547
533 1884 720721696
201 1575 953513975
1169 1758 925900553
118 268 782496406
400 1524 981105649
875 1463 18211906
230 610 331809192
1824 1941 499079654
392 846 677990798
292 1765 362380435
214 755 802221983
882 1925 733039507
1824 1842 359305953
735 1040 36672265
621 1758 995932075
957 1538 256883867
1009 1054 475594044
1301 1983 957012277
1365 1570 572484227
630 1249 554773741
423 1198 408127370
880 1496 948617279
495 1857 972602027
925 1842 984380357
578 1346 330373700
62 1499 890783516
228 1215 316719206
22 908 567882988
1699 1841 41323346
155 275 479407230
943 1883 836560560
583 882 924817144
271 790 329566945
576 692 942681315
21 1517 326804180
410 630 241714592
632 918 708293356
466 1312 933109398
117 818 61185757
721 1915 512477247
265 1648 268855817
270 1833 722712543
1271 1700 779920293
50 1476 607607638
59 1893 803953774
807 1762 877542851
398 1712 123392129
19 958 144835145
433 826 931094944
391 448 839239197
1 849 200489145
65 1200 438333662
75 584 777691043
870 1578 206454172
801 1923 906001034
857 1172 965800046
648 1590 573586106
1635 1769 319706087
694 1453 254241551
76 1104 504957773
48 1512 297052994
562 1715 641423769
417 1369 429734328
1662 1715 156478439
281 1990 480821185
228 1420 856087573
952 1613 488446873
1216 1547 63435599
512 1814 908556956
698 781 959471240
1580 1902 356311170
400 1149 599433016
267 1285 216039542
773 1194 626196004
75 1712 911507553
371 936 701979885
281 546 472075985
1743 1969 961604911
1064 1569 924093440
493 656 217071208
605 607 993094859
29 1147 887639298
472 706 914935964
1129 1933 938717586
93 1634 694473202
43 1126 954159013
942 1414 789251721
1263 1914 357323206
744 1329 487268965
1016 1644 126365523
1271 1401 306267066
798 1532 818448833
280 1982 807634317
419 1406 850835815
175 1363 675496631
331 617 833003925
44 1117 884019778
733 1653 657146358
634 1993 819345052
584 662 113401111
315 648 315505195
498 1931 148802132
488 562 427336748
170 855 155378068
1245 1291 103288701
589 1010 130119391
406 834 162048508
104 234 443538500
509 696 783440944
1386 1902 547945923
1601 1878 161107952
363 1054 463236350
972 1115 856159103
154 194 331056324
321 1680 82471171
744 1182 356001433
672 841 714030760
283 1965 797049113
318 1841 882708516
981 1393 976026510
310 1968 833799784
7 1243 347291206
692 1576 929119573
363 1314 383360538
298 335 687484727
737 1430 743291381
1052 1897 38726371
345 1122 226824024
336 1839 487440269
586 711 233037908
550 1714 582974401
1525 1946 520614844
104 1604 393209646
239 1971 382158966
361 1292 416135640
632 1457 243455520
1100 1883 337127132
815 920 154039718
31 628 240172897
1288 1854 438773913
469 822 991220663
869 1236 643722424
373 1603 475003628
1489 1632 933145388
211 1545 623917942
316 1349 391915367
460 1304 636975891
289 1297 309971287
749 1559 730483298
538 1793 927672419
823 845 979191926
626 765 969950936
333 377 180850766
930 1302 346913834
583 672 569984344
818 1346 340141719
763 1120 302482725
1435 1749 905548827
288 1689 28386253
667 1943 788109446
1523 1715 761602472
476 538 807587975
749 1139 411002216
436 748 349969866
1267 1407 157216085
813 1397 274312805
956 1099 805473182
183 1236 659279520
782 1251 104907495
187 509 570325320
944 1351 568028679
1119 1496 978876019
194 1092 305466671
1511 1804 952415662
539 991 209982979
449 1800 599559213
1548 1610 720456227
535 1324 672339418
73 1418 622927657
763 1329 254310338
68 1824 919906427
254 1665 591382543
1691 1853 190642409
502 1910 106725006
636 766 947333715
748 776 176738466
363 1332 205106047
54 1935 440317424
957 1175 798357214
652 1673 389125305
1069 1954 708041601
868 1974 578968848
1307 1814 974044346
900 1577 428852203
1518 1521 434372943
214 1497 200574397
518 1010 24311717
399 438 793670857
638 738 77581998
90 846 842511137
156 1083 930475549
694 1531 677310668
1189 1485 438694075
970 1306 761659038
1258 1623 774246210
1055 1795 191688488
775 1067 347276374
1073 1850 106564383
660 701 246984046
172 1017 283675331
1318 1781 172833487
884 1594 783860536
1170 1841 906348071
1011 1483 609609459
952 1122 808499263
1160 1684 227189487
787 1631 528087774
938 1239 275757128
139 1729 575924251
789 1975 272282576
510 1054 611516500
410 1060 560335047
1814 1939 196802138
944 1050 436746756
796 1618 531355843
176 1463 663168113
634 1938 724550442
75 519 44386873
1467 1641 838732383
178 1269 813831588
1440 1454 752120568
1106 1644 843638627
1709 1895 236217340
256 1620 259574671
1658 1827 47746049
709 798 750716576
583 1649 583164024
1469 1751 529774091
1277 1580 317939153
486 1278 405464677
937 1673 929736075
1589 1631 732548291
743 951 884542057
143 655 758699485
447 483 347603520
627 1423 560666123
368 865 364800156
321 937 781170137
610 1941 608361538
881 1807 940284776
77 663 626181551
721 1784 159569675
200 1425 680461192
1275 1547 66310918
888 1040 489644782
625 1263 552277783
259 1949 883148926
726 1335 557628850
50 1767 785431123
445 1826 157239504
520 855 842676259
1379 1698 441983047
465 569 304503059
942 1587 934897534
408 669 745677293
470 481 808074707
437 1464 837295737
532 1864 75040189
253 1455 752386737
954 1986 590345185
1231 1611 833058871
1843 1877 970134772
462 1212 884986640
343 1355 861083316
614 1335 935365378
588 1642 761298166
589 1087 121276877
1582 1885 116517516
136 459 464123041
565 1185 179371442
479 754 591226012
195 337 153902019
795 1815 633151201
649 1343 501199779
1306 1317 661538378
26 1147 239442264
74 370 791934828
1314 1964 172085110
315 1457 40282214
1609 1919 830422618
44 54 537357804
702 1980 553508053
444 1163 927883257
140 1368 753685009
1584 1847 306852101
794 1212 482614127
775 865 443073919
894 1225 702304222
1084 1948 743450383
1104 1809 376079669
752 897 984492887
1441 1944 211690623
1085 1239 688493963
964 989 223510372
509 1338 795907582
122 821 31133533
938 1516 573503737
1139 1804 883772510
1785 1812 670513208
356 1905 595527283
178 1912 645516599
1523 1921 65816768
1135 1640 292827717
460 1975 164116036
309 1847 368250227
823 1138 595620439
335 411 97935128
1261 1980 572785446
1386 1493 325573048
999 1817 21605700
26 1531 498067056
231 773 362845600
198 732 273451435
75 1087 522127260
739 1353 736859761
1080 1278 395164396
52 1485 564035711
715 1833 423735935
535 746 930730558
1371 1392 136031879
357 1885 216340975
371 1261 847015152
75 579 400300733
1082 1575 566790516
855 1043 622494739
689 823 906979293
1553 1916 662653334
111 1268 710474966
222 804 106430528
759 1621 847447237
398 1468 821521622
1143 1720 788748628
1079 1468 820090229
286 396 884308374
1046 1290 485858505
570 1051 146093294
165 1379 543635354
513 1186 763114373
463 1055 128147289
410 1279 619379013
202 1357 717403863
1186 1568 502174404
994 1407 759753546
561 587 292967109
105 1479 921920362
731 1541 973853566
84 97 672146408
819 1239 774178119
936 1277 52547780
920 1892 231178744
800 955 973176086
461 1990 407201837
1474 1542 510739354
515 1869 265860372
1276 1501 196932508
176 806 566766203
369 894 709723153
267 1891 504926551
815 1542 927625200
1094 1682 78118176
599 1859 841489010
533 1726 601458218
635 1261 603904549
1150 1580 289707064
24 722 984079117
517 1618 981112003
727 795 746099251
351 849 475572593
119 1337 710832149
137 1230 205228617
343 1577 114789434
76 1079 651828052
1471 1631 281224972
368 1930 842082388
1117 1863 62629318
5 1490 518374784
87 199 659209593
1113 1229 720608770
406 1830 541278557
369 1262 977387768
1444 1682 797930024
649 1281 617175734
572 1490 262012209
541 949 987853129
355 760 649931307
721 1745 724945880
58 1165 405776071
594 1757 548321660
514 1720 667925062
319 1080 120986595
1058 1518 273573075
1981 1997 7175287
748 840 378387445
78 1461 412841649
423 859 861167346
1034 1103 899361005
724 1167 438018499
229 1112 685714024
412 1991 590832545
387 864 254785477
20 922 172350261
721 1376 985992118
406 1299 268752194
562 1179 666333643
609 940 642292069
1761 1887 882506755
696 1436 52578204
1077 1855 399023958
535 674 884630434
130 393 301261425
1289 1900 494045075
741 1613 438024860
278 399 448750710
870 1836 823080201
850 1312 406869504
405 1556 34875839
1504 1894 633923819
500 1277 110388988
626 705 18124779
401 634 391345785
1351 1650 522023772
946 1772 543144941
1285 1614 691355642
497 830 970751088
936 1218 332153388
1416 1868 928916633
671 1169 388125253
1327 1487 841929548
126 1645 105329731
921 1973 239515328
83 833 378529031
159 826 497122508
815 1184 664755284
1249 1856 30262278
328 1900 67180757
360 1465 782526187
217 1149 939269372
58 1644 78603839
91 1718 952820605
766 841 323876195
35 384 758897123
520 1684 986897726
362 1864 368664654
898 1673 524853063
1171 1734 417665784
493 969 630986554
233 451 767129310
141 478 799234230
397 1729 147178987
1278 1646 915751473
322 1123 877887775
212 1503 647299734
899 1142 534701919
1001 1414 272083380
1484 1654 707031710
415 570 648160315
249 755 771101225
538 1029 122194308
1668 1673 854902280
93 1859 732266550
657 1884 50714095
396 1972 789377021
638 1229 319482840
29 1084 975948899
926 1981 69072460
462 841 58205384
53 1387 169948888
891 993 680363656
455 1803 685471628
1640 1674 989724381
277 1036 22247921
167 1956 505363314
207 1873 84928567
375 754 816211018
1270 1827 842745510
1083 1389 46164286
598 842 318952961
228 1674 319006521
100 727 63587290
903 1184 645412551
749 918 481944058
452 744 848085517
1626 1708 475937302
1160 1425 578968596
356 1491 236060335
977 1163 527431666
1168 1293 825076066
1647 1863 633041037
568 1575 739261789
477 1355 713403120
192 1863 832965553
97 1662 486146144
861 1287 576192387
700 939 302325909
1199 1235 72787120
786 1432 968490170
985 1264 427789901
620 1122 420671083
1505 1732 842579721
1371 1956 744589886
891 1539 387914564
735 856 879449517
495 634 15925124
723 1512 38694693
512 785 906171157
1104 1843 717750676
461 588 676003964
418 478 156409285
902 1136 983064244
973 1285 579479344
887 1086 864112393
1101 1437 383233373
1693 1795 725277977
1579 1580 159962592
1826 1965 479206371
333 1855 738128975
526 1790 574964553
520 1305 85500364
19 838 629370541
1706 1959 821829727
295 299 184404146
925 1828 819639935
703 1321 800864540
985 1318 121841358
248 1858 96017297
878 1210 49645299
978 1460 380884718
16 1265 218276888
657 1745 91439999
422 1866 753985300
1050 1707 219226148
